file_tag,test_no,sample,bends,primary_position,frequency,temperature,material,stress_indicator,pressure,bend_to_break,break_location,prim_sec_amp,prim_sec_phi,prim_rec_amp,prim_rec_phi,sec_rec_amp,sec_rec_phi,sec_harm_db,rec_harm_db
20180416-0001,1,TU20180416-01,0.0,18.0,45,19.7,CS,M,1615,576.0,5.0,1.5572456813942477,-1.0184502110448295,3.5809527830711754,2.434832615914127,2.299542600025093,-2.82990248022063,-49.306290376296346,-23.368961913457255
20180416-0001,1,TU20180416-01,0.0,18.0,45,19.7,CS,M,1615,576.0,5.0,1.5577445505404937,-1.0185899932764777,3.582324052580326,2.4347892144305225,2.2996864610037377,-2.829806099472586,-49.41834122250789,-23.374232216594887
20180416-0002,2,TU20180416-01,0.0,15.0,45,19.7,CS,M,1615,576.0,5.0,1.5631625657968051,-1.0120840760282714,3.5710408693612803,2.4445993367406604,2.2844974332794235,-2.826501894410655,-49.46223320828692,-23.300160181237857
20180416-0002,2,TU20180416-01,0.0,15.0,45,19.7,CS,M,1615,576.0,5.0,1.5628032740899538,-1.0121099662853483,3.5700063802829147,2.4445271954126055,2.284360699437227,-2.826548145481633,-49.62093117234542,-23.29572574093474
20180416-0003,3,TU20180416-01,0.0,12.0,45,19.7,CS,M,1615,576.0,5.0,1.5611216374501702,-1.0113197545405883,3.5805244588609315,2.443706934781664,2.293558921333712,-2.8281586178573344,-49.45674956655293,-23.362411099102896
20180416-0003,3,TU20180416-01,0.0,12.0,45,19.7,CS,M,1615,576.0,5.0,1.5609791671499094,-1.0113295470273156,3.5803247764787764,2.4436627825098687,2.2936403328276693,-2.828192977642402,-49.331446218339174,-23.355948208878957
20180416-0004,4,TU20180416-01,0.0,9.0,45,19.7,CS,M,1615,576.0,5.0,1.5607743230636972,-1.0110510329578835,3.5643495631864544,2.445862665004255,2.283705921167303,-2.826271609217448,-49.35131820674994,-23.25752139262533
20180416-0004,4,TU20180416-01,0.0,9.0,45,19.7,CS,M,1615,576.0,5.0,1.5601823483843285,-1.011181083821868,3.5624957535965414,2.445627150226688,2.2833842193418863,-2.82637707313103,-49.253259911159226,-23.259985581513057
20180416-0005,5,TU20180416-01,0.0,6.0,45,19.7,CS,M,1615,576.0,5.0,1.5615328050753445,-1.011535507255816,3.5718448715967512,2.442400566234341,2.2873966272033637,-2.8292492336894295,-49.30170961110086,-23.234064882952275
20180416-0005,5,TU20180416-01,0.0,6.0,45,19.7,CS,M,1615,576.0,5.0,1.562001082857318,-1.0115969227833717,3.5720495970594577,2.442235016098946,2.286841946693931,-2.829353368297269,-49.39988103537148,-23.226818088037106
20180416-0006,6,TU20180416-01,1.0,18.0,45,22.7,CS,M,1615,576.0,5.0,1.4695784792929636,-1.0306700826483062,3.0536272093020913,2.458817589696567,2.0778932546502973,-2.793697634834713,-49.56558025310418,-23.487499163031863
