file_tag,test_no,sample,bends,primary_position,frequency,temperature,material,stress_indicator,pressure,bend_to_break,break_location,prim_sec_amp,prim_sec_phi,prim_rec_amp,prim_rec_phi,sec_rec_amp,sec_rec_phi,sec_harm_db,rec_harm_db
20180416-0001,1,TU20180416-01,0.0,18.0,45,19.7,CS,M,1615,576.0,5.0,0.005510029722349619,0.5522477733321974,0.012669385661650285,-2.2777041047357907,2.299331637043826,-2.8299518780679884,-49.30128133248583,-23.359493980505373
20180416-0001,1,TU20180416-01,0.0,18.0,45,19.7,CS,M,1615,576.0,5.0,0.005511936795455665,0.5522931550872053,0.012675155988281719,-2.2774585862272265,2.299582970314862,-2.829751741314432,-49.44431664489596,-23.379977602820198
20180416-0002,2,TU20180416-01,0.0,15.0,45,19.7,CS,M,1615,576.0,5.0,0.0055305937345718715,0.5587450184337912,0.012634740078061655,-2.26777654756161,2.2845178446360284,-2.826521565995401,-49.46907237000214,-23.29972256839367
20180416-0002,2,TU20180416-01,0.0,15.0,45,19.7,CS,M,1615,576.0,5.0,0.005529837987666447,0.5587144480429566,0.012631264910483705,-2.2678467499186987,2.2842016237466685,-2.8265611979616554,-49.660064205455264,-23.301275485918744
20180416-0003,3,TU20180416-01,0.0,12.0,45,19.7,CS,M,1615,576.0,5.0,0.005523160758008514,0.5595064521278817,0.01266975620304157,-2.2686786419605935,2.293932180893085,-2.828185094088475,-49.44416846270242,-23.358334549047463
20180416-0003,3,TU20180416-01,0.0,12.0,45,19.7,CS,M,1615,576.0,5.0,0.005522575593802012,0.5595058770170274,0.012667911854291879,-2.2686968577051965,2.293841277339703,-2.828202734722224,-49.37881582352151,-23.350109758287495
20180416-0004,4,TU20180416-01,0.0,9.0,45,19.7,CS,M,1615,576.0,5.0,0.005521569694653935,0.5598604096427569,0.012610229137052651,-2.2664826528035222,2.2838123639482557,-2.826343062446279,-49.373720407438604,-23.264348698524703
20180416-0004,4,TU20180416-01,0.0,9.0,45,19.7,CS,M,1615,576.0,5.0,0.005519894071714425,0.5596972014542962,0.012603000994110172,-2.2665960376935548,2.2831961683271587,-2.826293239147851,-49.232670604702555,-23.257630035723977
20180416-0005,5,TU20180416-01,0.0,6.0,45,19.7,CS,M,1615,576.0,5.0,0.0055249771192954706,0.5594157624935352,0.01263763714150597,-2.2699917473425923,2.2873646114062978,-2.8294075098361278,-49.36276581000533,-23.23365131168666
20180416-0005,5,TU20180416-01,0.0,6.0,45,19.7,CS,M,1615,576.0,5.0,0.005526473974184349,0.559308608287583,0.012637528007743173,-2.2700560753044523,2.286725327356372,-2.829364683592036,-49.46964492054323,-23.226478143612095
20180416-0006,6,TU20180416-01,1.0,18.0,45,22.7,CS,M,1615,576.0,5.0,0.005199755231704935,0.5398833418232802,0.010804876219973506,-2.2536418329288668,2.0779586227620803,-2.793525174752147,-49.455082099067,-23.485643068338568
