file_tag,test_no,sample,bends,primary_position,frequency,temperature,material,stress_indicator,pressure,bend_to_break,break_location,prim_sec_amp,prim_sec_phi,prim_rec_amp,prim_rec_phi,sec_rec_amp,sec_rec_phi,sec_harm_db,rec_harm_db
20180416-0001,1,TU20180416-01,0.0,18.0,45,19.7,CS,M,1615,576.0,5.0,0.005509738219816029,0.552346115750067,0.012669877751453378,-2.277556364470563,2.299542600025093,-2.82990248022063,-49.306290376296346,-23.368961913457255
20180416-0001,1,TU20180416-01,0.0,18.0,45,19.7,CS,M,1615,576.0,5.0,0.0055115045269154275,0.5522063335184191,0.01267473234030822,-2.2775997659541676,2.2996864610037377,-2.829806099472586,-49.41834122250789,-23.374232216594887
20180416-0002,2,TU20180416-01,0.0,15.0,45,19.7,CS,M,1615,576.0,5.0,0.005530677036017914,0.5587122507666253,0.012634817493080376,-2.2677896436440297,2.2844974332794235,-2.826501894410655,-49.46223320828692,-23.300160181237857
20180416-0002,2,TU20180416-01,0.0,15.0,45,19.7,CS,M,1615,576.0,5.0,0.005529404967015537,0.5586863605095482,0.012631155397923288,-2.267861784972084,2.284360699437227,-2.826548145481633,-49.62093117234542,-23.29572574093474
20180416-0003,3,TU20180416-01,0.0,12.0,45,19.7,CS,M,1615,576.0,5.0,0.005523448023002841,0.5594765722543082,0.012668353489681223,-2.268682045603026,2.293558921333712,-2.8281586178573344,-49.45674956655293,-23.362411099102896
20180416-0003,3,TU20180416-01,0.0,12.0,45,19.7,CS,M,1615,576.0,5.0,0.0055229470598043675,0.559466779767581,0.012667654132439287,-2.268726197874821,2.2936403328276693,-2.828192977642402,-49.331446218339174,-23.355948208878957
20180416-0004,4,TU20180416-01,0.0,9.0,45,19.7,CS,M,1615,576.0,5.0,0.005522221802780985,0.5597452938370132,0.012611130629010113,-2.2665263153804345,2.283705921167303,-2.826271609217448,-49.35131820674994,-23.25752139262533
20180416-0004,4,TU20180416-01,0.0,9.0,45,19.7,CS,M,1615,576.0,5.0,0.005520127165669247,0.5596152429730287,0.012604571258849616,-2.2667618301580017,2.2833842193418863,-2.82637707313103,-49.253259911159226,-23.259985581513057
20180416-0005,5,TU20180416-01,0.0,6.0,45,19.7,CS,M,1615,576.0,5.0,0.005524909710409811,0.5592608195390805,0.01263765983719452,-2.2699884141503492,2.2873966272033637,-2.8292492336894295,-49.30170961110086,-23.234064882952275
20180416-0005,5,TU20180416-01,0.0,6.0,45,19.7,CS,M,1615,576.0,5.0,0.005526566905364674,0.559199404011525,0.012638385020398405,-2.270153964285744,2.286841946693931,-2.829353368297269,-49.39988103537148,-23.226818088037106
